rating,text
negative, Family xmas dinner was spoilt by the terrible meal we had Suppose you get what you pay for but come on people I ve had better ready meals  pre fabricated food  serving staff friendly enough but a very miserable barman  cheer up fella I m giving you my hard earned money  my first time here and will be my last 
negative, Booked this place for our office Xmas lunch Prices were 16 95 for 2 courses 21 95 for 3 courses What wasn t evident when we booked is that a 10 service charge is added as well so everyone had to fork out more money than first thought I ordered the salmon for my main course and although this was tasty it came with 5 slices of chorizo and a handful baby hand size of broccoli tips Nothing else so the meal looked like a starter on the plate Other mains included a dish of fresh vegetables Based on this I wouldn t go back again as being charged almost 22 for a starter and another starter masquerading as a main course isn t something I m prepared to pay for Think this place needs to look at the menu again and offer customers a decent plate of food especially at the prices they charge Most of our group agreed that the people who had the salmon got short changed for their money Definately won t be recommending this place and won t be going back 
negative, Thought we d give it a try whilst out shopping Service was poor I ordered a ploughman s which consisted of a plate of lettuce pork pie 3 pickled onions and grated cheese No slab of local cheese no sliced ham I would suggest trying one of the other local cafes that put some effort and pride into their work 
negative, Have to say we couldn t fault the service we weren t kept waiting at all But the food was truly awful Processed chicken poor quality pasta which was sent back as there was hardly a mushroom or piece of bacon in sight and a burger and chips that must have been bought in from Tesco value range At 55 with drinks not value for money Also very noisy and every ten minutes it seemed it was someone s birthday so you get the obligatory birthday song followed by Congratulations by Cliff Cringeworthy Good place for teenagers only 
negative, Having hear many good things about this restaurant and seen good reviews on Trip Advisor I visited with colleagues Jesmond branch   We hadn t booked but were quickly seated  and then completely ignored Staff were wandering back and forth including the waiter who had seated us but nothing No attempt to see if we wanted drinks or anything  After 15 minutes we put our coats on and walked out past several members of staff who all ignored us again and went for a curry just around the corner where we had drinks in seconds and poppadoms in less than 2 minutes  Another guest at the hotel we were staying at went in as we were leaving and was served as normal though he is a regular  so it must have been us that they objected to 
negative, Went here with my wife Food was ok but only ok What really stunned us was how the management spoke to and treated their young staff They work so hard and are so friendly but the so called management seem to talk to and treat them like dirt Very uncomfortable   Needs a change in that area as so much potential  
negative, Been longing to try this restaurant for lunch for ages Welcome at reception poor Not offered drink in the bar first Taken straight table Temperature cool Warmer in the rest rooms Three tables only occupied Zero atmosphere Tiny overpriced portions of tasteless food Everything needed chilli sauce to get some kind of flavour Sommelier poor Wine bucket kept a mile away from our table Had to keep hailing Sommelier to refill our glasses Bill outrageous for what we had  225 for two people at lunchtime Left restaurant hungry and feeling ripped right off Will not return 
negative, We were looking forward to eating there The pub is great with lots of beers on offer However the menu was pretty limited and what was on the board quite expensive so we chose the burgers There were 4 of us and all agreed the quality was below par and overcooked The presentation was good But at 11 I felt ripped of I will go there again for the beers and the atmosphere but will give the food a miss 
negative, What can I say Waited 15 mins in queue to place order then waited 40 mins for food  Turned up cold Burger with two pieces lettice Chips not cooked and cold Complete waste of money Sent stinker email to Greenking You can guess no reply 40 spent on four  Will never ever return Crap food for your money Better at the Globe  And thats saying something 
negative,We had a friendly and helpful waitress however the food was of a very low quality I had the Saltimbocca Chicken which was very dry The vegetables looked and tasted like microwaved leftovers We had to give the onion rings back I am not a fussy eater so to leave anything behind is rare for me 
